,sample,sample_2,uncorrected_dist,rep,b_s1,b_s2,b_mean,n_s1,n_s2,N_mean,subsample_mean_dist,no_strapped_dist,corrected_dist,corrected_dist_cons
64,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425993_2,0.0167148663025223,83,409809,403014,406411.5,1722668,1690960,1706814.0,0.016816037043399693,0.017647593047,0.017598225127,0.016766669124
65,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425993_2,0.1853498516165657,83,355279,403014,379146.5,1469941,1690960,1580450.5,0.1795974103894621,0.181538107145,0.184355615851,0.182414919096
66,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425993_2,0.1443009737865258,83,393098,403014,398056.0,1644797,1690960,1667878.5,0.1446483526469342,0.144520495784,0.144350791319,0.144478648182
67,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425993_2,0.0205489205836997,83,414002,403014,408508.0,1742262,1690960,1716611.0,0.0205266865647699,0.021502303938,0.021513150255,0.020537532882
68,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425993_2,0.173668982123263,83,416113,403014,409563.5,1752136,1690960,1721548.0,0.17640676916464554,0.174222177543,0.172886810301,0.175071401923
69,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425993_2,0.0664357191087485,83,409901,403014,406457.5,1723097,1690960,1707028.5,0.06577736482296057,0.065990272304,0.066311525052,0.066098617571
70,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425995_2,0.1189786896124475,83,404342,384397,394369.5,1697154,1604392,1650773.0,0.11573476338607752,0.121283804914,0.122869351294,0.117320309766
71,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425995_2,0.1050559650787111,83,396380,384397,390388.5,1660060,1604392,1632226.0,0.10136835560930978,0.098414501222,0.100217947807,0.103171802194
72,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425995_2,0.1231089574368852,83,405650,384397,395023.5,1703254,1604392,1653823.0,0.12286570229881605,0.12791918675,0.128038072274,0.122984587822
73,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425995_2,0.0971804493323769,83,400078,384397,392237.5,1677279,1604392,1640835.5,0.0986952016601906,0.098442492524,0.0977018926,0.097954601737
74,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425995_2,0.0996741158276026,83,403014,384397,393705.5,1690960,1604392,1647676.0,0.10088142312741308,0.09749167205,0.096901514918,0.100291265996
