sample,variable,dist,condition,true_dist,scaled_dist
n1,n2,0.0010059779696107926,subsample_mean_mean,0.001,0.9940575541499129
n1,n2,0.0010680651593558477,subsample_mean_mean,0.001,0.9362724654393766
n1,n2,0.0011483224036729102,subsample_mean_mean,0.001,0.8708355744009689
n1,n2,0.0010281296737507432,subsample_mean_mean,0.001,0.972639955378272
n1,n2,0.001111447366890804,subsample_mean_mean,0.001,0.8997277152200467
n1,n2,0.0011057263215758552,subsample_mean_mean,0.001,0.904382920517641
n1,n2,0.0010530409330668056,subsample_mean_mean,0.001,0.9496307015223684
n1,n2,0.0009749908035630488,subsample_mean_mean,0.001,1.025650699827687
n1,n2,0.0009877082967974496,subsample_mean_mean,0.001,1.0124446693850857
n1,n2,0.0011317323018036386,subsample_mean_mean,0.001,0.8836011823699851
n1,n2,0.0010090365790426377,subsample_mean_mean,0.001,0.9910443494018708
n1,n2,0.0009960341443637113,subsample_mean_mean,0.001,1.0039816462705928
n1,n2,0.0009788236129238221,subsample_mean_mean,0.001,1.0216345282199746
n1,n2,0.0010420188059040538,subsample_mean_mean,0.001,0.9596755781508204
n1,n2,0.0010480285847833338,subsample_mean_mean,0.001,0.954172447697824
n1,n2,0.0009418842250065707,subsample_mean_mean,0.001,1.0617016119927307
n1,n2,0.0010151960877846874,subsample_mean_mean,0.001,0.9850313767285612
n1,n2,0.0010126908037945664,subsample_mean_mean,0.001,0.987468234384065
n1,n2,0.0011772873443106435,subsample_mean_mean,0.001,0.8494103031282871
n1,n2,0.000969486726829382,subsample_mean_mean,0.001,1.031473636849479
n1,n2,0.0010662440125355774,subsample_mean_mean,0.001,0.9378716206077008
n1,n2,0.00103892421422551,subsample_mean_mean,0.001,0.9625341158743452
n1,n2,0.0009649790237092332,subsample_mean_mean,0.001,1.0362919560221646
n1,n2,0.0010389470631463774,subsample_mean_mean,0.001,0.9625129474562171
n1,n2,0.0010187143419833767,subsample_mean_mean,0.001,0.9816294507575686
n1,n2,0.001069882343108169,subsample_mean_mean,0.001,0.934682216639682
n1,n2,0.0010099296713017745,subsample_mean_mean,0.001,0.9901679576470158
n1,n2,0.0009320072122650774,subsample_mean_mean,0.001,1.0729530703627048
n1,n2,0.0010899555684610457,subsample_mean_mean,0.001,0.9174685913224356
n1,n2,0.0010738378696847598,subsample_mean_mean,0.001,0.9312392757144652
n1,n2,0.0010113876902014263,subsample_mean_mean,0.001,0.9887405291642828
n1,n2,0.0010085143846869603,subsample_mean_mean,0.001,0.9915574980225956
n1,n2,0.000982925276890228,subsample_mean_mean,0.001,1.017371333824879
n1,n2,0.0010272864121440171,subsample_mean_mean,0.001,0.9734383597198871
n1,n2,0.0009840460444674741,subsample_mean_mean,0.001,1.016212610804365
n1,n2,0.000989650640317497,subsample_mean_mean,0.001,1.0104575890328154
n1,n2,0.0009588211156797492,subsample_mean_mean,0.001,1.0429474107806411
n1,n2,0.0010507118887483212,subsample_mean_mean,0.001,0.95173568578468
n1,n2,0.0010612929248689938,subsample_mean_mean,0.001,0.9422469297281334
n1,n2,0.0010195893932162011,subsample_mean_mean,0.001,0.9807869782222742
n1,n2,0.0009341149709042717,subsample_mean_mean,0.001,1.0705320342226698
n1,n2,0.0010261306619932023,subsample_mean_mean,0.001,0.9745347615454302
