sample,variable,value_x,cond,rep_num,value_y,est_true
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6426001_2,0.1600887338677255,main,-1.0,0.1600887338677255,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6426001_2,0.1565250740038684,main,-1.0,0.1565250740038684,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6426001_2,0.144520495784106,main,-1.0,0.144520495784106,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6426001_2,0.1486148842433672,main,-1.0,0.1486148842433672,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6426001_2,0.1473945180614591,main,-1.0,0.1473945180614591,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6426001_2,0.0155560809222316,main,-1.0,0.0155560809222316,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6426001_2,0.1427225518123547,main,-1.0,0.1427225518123547,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6426001_2,0.1784852789509904,main,-1.0,0.1784852789509904,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6426001_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6426001_2,0.1362407559089211,main,-1.0,0.1362407559089211,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6426001_2,0.1812658171951768,main,-1.0,0.1812658171951768,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6426001_2,0.1532403063265667,main,-1.0,0.1532403063265667,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6426002_2,0.1316122133262828,main,-1.0,0.1316122133262828,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6426002_2,0.0682048224036681,main,-1.0,0.0682048224036681,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6426002_2,0.1340192114603572,main,-1.0,0.1340192114603572,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6426002_2,0.1061571461778379,main,-1.0,0.1061571461778379,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6426002_2,0.0215023039383637,main,-1.0,0.0215023039383637,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6426002_2,0.0990794227452697,main,-1.0,0.0990794227452697,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6426002_2,0.1829733864828039,main,-1.0,0.1829733864828039,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6426002_2,0.1500867308393667,main,-1.0,0.1500867308393667,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6426002_2,0.0199004952758243,main,-1.0,0.0199004952758243,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6426002_2,0.1508007729669739,main,-1.0,0.1508007729669739,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6426002_2,0.1362407559089211,main,-1.0,0.1362407559089211,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6426002_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6426002_2,0.1685631955693857,main,-1.0,0.1685631955693857,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6426002_2,0.0683347600303818,main,-1.0,0.0683347600303818,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6426003_2,0.1826408070850522,main,-1.0,0.1826408070850522,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6426003_2,0.1757586504227075,main,-1.0,0.1757586504227075,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6426003_2,0.1864121149962923,main,-1.0,0.1864121149962923,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6426003_2,0.1804291165611619,main,-1.0,0.1804291165611619,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6426003_2,0.1742221775428925,main,-1.0,0.1742221775428925,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6426003_2,0.175502830618652,main,-1.0,0.175502830618652,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6426003_2,0.1889109180737798,main,-1.0,0.1889109180737798,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6426003_2,0.1768309152921428,main,-1.0,0.1768309152921428,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6426003_2,0.1733012055212659,main,-1.0,0.1733012055212659,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6426003_2,0.1569457075681942,main,-1.0,0.1569457075681942,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6426003_2,0.1812658171951768,main,-1.0,0.1812658171951768,1.0
